listing.id,listing.user.id,listing.is_superhost,listing.city,listing.name,listing.property_type_id,listing.room_and_property_type,listing.space_type,listing.avg_rating,listing.reviews_count,listing.picture_count,listing.bathrooms,listing.bedrooms,listing.beds,listing.person_capacity,listing.cancel_policy,listing.is_new_listing,listing.lat,listing.lng,listing.max_nights,listing.min_nights,pricing_quote.can_instant_book,pricing_quote.monthly_price_factor,pricing_quote.rate.amount,pricing_quote.weekly_price_factor
39731671,302762155,False,Midland,Newly Renovated Midland Flat + Pool,1,Entire apartment,Entire apartment,3.89,9,25,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,31.98695,-102.14957,90,1,True,0.8,55.0,0.9
30820396,41916063,True,Midland,Desirable 2 bedroom,1,Entire apartment,Entire apartment,,2,16,2.0,2,2.0,4,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,32.05105,-102.13201,30,3,True,0.9,165.0,1.0
34707476,207888136,False,Midland,Quaint 2 bedroom house!,2,Entire house,Entire house,4.57,7,11,1.0,2,3.0,4,CANCEL_FLEXIBLE,False,32.02704,-102.08384,1125,1,True,1.0,109.0,1.0
33879530,57282282,True,Midland,Wolfcamp Lodge: Business Traveler's Oasis,36,Entire townhouse,Entire townhouse,5.0,13,22,2.0,2,2.0,4,CANCEL_MODERATE,False,32.01205,-102.14813,1125,2,False,0.75,140.0,0.92
33442611,251937942,False,Midland,"The Best of Midland, TX Living",1,Entire apartment,Entire apartment,,0,11,2.0,2,2.0,4,CANCEL_MODERATE,False,32.03301,-102.09231,1125,4,True,0.9,129.0,1.0
14543916,50086306,True,Midland,Private Bedroom and Private Bath,2,Private room in house,Private room,4.87,52,6,1.0,1,1.0,2,CANCEL_FLEXIBLE,False,32.02867,-102.12114,1125,1,False,0.85,60.0,0.9
42670372,266063094,False,Midland,King Suite. Free Breakfast. Pool & Hot Tub. Great for Business Travelers!,47,Entire serviced apartment,Entire apartment,,0,16,1.0,0,1.0,2,CANCEL_MODERATE,False,31.9936,-102.16161,14,2,True,1.0,146.0,1.0
42276439,174750939,True,Midland,Lara's Casita,60,Entire cottage,Entire cottage,,1,14,1.0,2,2.0,4,CANCEL_FLEXIBLE,False,32.00039,-102.08861,1125,2,True,1.0,125.0,1.0
34751832,252229194,False,Midland,Best Pet Friendly Home In Midland,2,Entire house,Entire house,4.67,9,23,1.0,3,3.0,6,CANCEL_MODERATE,False,31.98511,-102.12778,30,2,True,0.86,145.0,0.86
30266356,207888136,False,Midland,Beautiful 1 bedroom apartment!4,1,Entire apartment,Entire apartment,4.33,6,8,1.0,1,2.0,1,CANCEL_FLEXIBLE,False,32.00785,-102.07972,1125,1,True,1.0,59.0,1.0
42670698,266063094,False,Midland,Free Breakfast. Pool & Hot Tub. Near the new Chevron and Oxy campuses!,37,Entire condominium,Entire condominium,,0,17,1.0,1,2.0,4,CANCEL_MODERATE,False,31.99407,-102.16013,14,2,True,1.0,163.0,1.0
39731133,302762155,False,Midland,Cozy Flat in the Heart of Midland,1,Entire apartment,Entire apartment,,2,25,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,31.98646,-102.14844,90,1,True,0.8,80.0,0.9
35867673,41916063,True,Midland,Heart of shopping 1 bedroom,1,Entire apartment,Entire apartment,,0,10,1.0,1,1.0,2,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,32.03743,-102.12412,30,3,True,1.0,135.0,1.0
42596223,332656772,False,Midland,Storey Weekly rental home,2,Entire house,Entire house,,1,16,2.0,3,3.0,5,CANCEL_FLEXIBLE,False,31.99704,-102.11706,1125,7,True,1.0,130.0,1.0
30266296,207888136,False,Midland,Beautiful 2 bedroom apartment!2,1,Entire apartment,Entire apartment,4.5,10,9,1.0,2,3.0,5,CANCEL_FLEXIBLE,False,32.00887,-102.08035,1125,1,True,1.0,104.0,1.0
43146534,75314243,False,Midland,Quaint House with a Charming Room,2,Private room in house,Private room,,0,11,1.0,1,1.0,1,CANCEL_FLEXIBLE,True,32.02051,-102.11035,365,1,False,0.51,23.0,0.79
35902929,101770076,False,Midland,Master room with private entrance,2,Private room in house,Private room,5.0,3,5,1.0,1,1.0,2,CANCEL_FLEXIBLE,False,31.99929,-102.10235,1125,1,True,1.0,100.0,0.79
